collect_doc_no,doc_no,title,url,channel_name,site_name,source_name,collected_date,sentiment,hashtags,related_words,eval_words
13819367197,BL000000013819367197,우당탕탕 25년 상반기 정산,https://blog.naver.com/khsung6846/223954860708,블로그,네이버블로그,^_^,2025-08-01,긍정,,"고양이,드래곤,고릴라,머리,상반기,생일,당일,저녁,오랜만,어제,금요일,지금,어린이날,시간,대회날,시험기간,점심,기간,개만족,정산,반오십,시작,처음,실험,서프라이즈,센터,단체사진,정서,중간,런치,실화,컨디션,기념,이수,가격,수정,다음,중요,번개,개인적,혼자,신기록,기록,친구,자랑,우승,재계약,전설,스쿼드,원조,출신,동기,릴스,꼴찌,어린이,웨이팅,마지막,아이디어,원정,풍경,대여,출발,호소인,호소,휴게,재현,생각,추천,즉석,포즈,유행,느낌,먼지,몬스터,레전드,동문,연합회,대기,카와이,제형,레이디,연습,흰머리,기획,삼총사,지원,십시일반,약속,블랙라벨,아줌마,폭주,나이스,확정,소진,영상,뉴페이스,정신적,역사상,갓생사,마무리,브이로그,이상형,특선,개인,계약,보람,고사,독립,해피,대회,단체,칭찬,억울,연합,무한,리필,극찬,허전,검정색,라벨,아이스,정신,지주,역사,갓생,기대,국수,젤라또,고등어,크림,어묵,갈비,생크림,조청,레몬,매실,바질,생양파,양파,알감자,메론,무화과,체리,감자,유과,사케,원두,커피,아이스아메리카노,마차,양주,아이스티,프라푸치노,소금빵,뇨끼,피자,김치,김치볶음밥,쌀국수,스시,떡볶이,카레,통조림,케이크,족발덮밥,덮밥,국물,고로케,파르페,야식,짜장면,안주,푸딩,닭갈비,생크림 카스테라,오믈렛,부대찌개,족발,카스텔라,찌개,요리,레시피,푸드파이터,점심특선,음식,피스타치오,보통맛,바막,유니폼,장화,안경,지비츠,크리스탈,수트핏,우리집,엘리베이터,수선,필름,학기,학생회,졸업식,졸업,박사,복학,중간고사,성적,스터디,시험,학생,리안,염색,뮤지엄,사진,극장판,혼영,독립영화,영화,체육대회,월드컵,스키,결승전,GOAT,결승,체육,축제,나들이,일본여행,여행,블로그,마커,이상형 월드컵,댄스부,모음집,셀카,전지,먹방,샤워,게임,댄스,드라이브,미사,키리에,생일파티,데이트,엠티,뒤풀이,집들이,알바,근무,실근무,노약자,황금세대,메가,스타벅스,프릳츠,요아정,본가,고디바,빠삐코,메가MGC커피,빽다방,팔도,배홍동,파스쿠찌,조청유과,아디다스,모노크롬,웍스,진격의 거인,해피엔드,유튜브,다방,크롬,수빈,정서윤,유나,최수한,지윤,정환,건우,김지윤,김보라,나연,김재현,현성,페페,빅나티,에스파,포챠코,카리나,이정환,사장,누나,오빠,차장,카페,스키장,식당,갤러리,명동,서점,스터디룸,서울특별시,빵집,휴게소,잠실,맛집,고깃집,무한리필집,대학교,춘천시,대만,일본,극장,부대","비싸다,재미있다,노잼,개만족,알바 야무지다,처음 보다,어색하다,최애,보람 있다,좋다,친하다,신나다,칭찬하다,먹고 싶다,유행 지나다,억울하다,극찬하다,허전하다,잘하다,아쉽다,최악이다,망하다,기대되다,시간 있다,편하다,최악,귀엽다,신기하다,못하다,야무지다,이쁘다,카와이,틀딱,정신적 지주,예쁘다,헬창,맛없다,맛 반하다,꿀맛,맛있다,맵다,맛 내다,맛집"
13826459741,BL000000013826459741,알디콤 집들이(서ver.250215),https://blog.naver.com/ee20919/223957708718,블로그,네이버블로그,뚜우벅,2025-08-03,긍정,,"작년말,처음,능력자,친구,블루,라벨,준비,집들이 선물,베이비핑크,집주인,실패,센스,무한대,무한,제공,마지막,마무리,술쟁이,여행,마커,집들이,모임,자가,훈제오리,편의점 아이스크림,오이,샐러드,위스키,명란구이,마라샹궈,꿔바로우,수육전골,안주,커피머신,우리집,디코,달무티,대천","제대로이다,최애,배부르다,센스쟁이,내 스타일"
13828528432,BL000000013828528432,나만의 방식으로 고독을 짊어지기,https://blog.naver.com/hjgo78_/223957254172,블로그,네이버블로그,hjgo78_님의 블로그,2025-08-04,긍정,,"하루종일,담날,저녁,일주일,다음날,오늘,시간,오전,내일,주말,지금,일요일,하루,방식,고독,사람,오리지널,위장,기상,계속,숯불,직영,가능,실화,친구,선물,하늘,느낌,의식적,행위,혼자,연습,소리,계획,해방,야간개장,로망,실천,어둠,감정,상태,생각,힐링,공간,기억,방법,기회,항정살,고기,간장,소금,과자,초콜릿,하이볼,숯불구이,뼈구이,볶음밥,한식,코스요리,잡채,오코노미야끼,런닝,장화,손잡이,수업,사진,음악,플레이리스트,여행객,여행,마커,개냥이,올세권,회사,정가,재택,퇴근,워킹맘,인용,장마,기상청,엽기떡볶이,신동궁감자탕,신라면,불닭,고래사,버터링,올리브영,iM증권,하나로,언니,어머니,사장,직영점,선릉,특별시,서울특별시,강남구,선릉로,여의도동,영등포구,여의대로,빌딩,요리집,대한민국,카페,핫스팟,정육식당,마포구,독막로,학원,본점,고궁","아프다,정신 없다,힘 내다,시간 있다,쉽지않다,좋다,부끄럽다,제대로하다,행복하다,도움되다,멋있다,맑다,맛있다,맵다"
13831373938,BL000000013831373938,[25.07.28~08.04] 백오십이상,https://blog.naver.com/ehdrbehrb/223959700513,블로그,네이버블로그,규동,2025-08-05,긍정,,"모기,초파리,머리,발톱,다음날,점심,오늘,일주일,오후,이상,평가서,세트,소주병,앞자리,정신,마무리,기억,다음,약속,가족,느낌,커플,색깔,집게,장착,키트,나무,패스,볶음밥용,재료,급속,껍질,계속,블랙라벨,회복,이름,규모,작업,공간,컬렉션,개인,아이템,추가,회의,사진,그림,휴가,페스티벌,인형,마커,만남,쫑파티,모임,인형뽑기,당면,국밥,낙지,갈비,소세지,키위,소주,딸기요거트,스무디,병맥주,위스키,칵테일,버번,맥주,계란말이,만두,곱도리탕,국물,안주,묵사발,닭볶음탕,닭볶음,어향가지,사천탕수육,동치미,훈연,볶음밥,볶음,김치찌개,백김치,김치,마늘쫑,해장,메뉴,출근,직원,퇴근,의자,액자,테이블,사발,포장,우디,갓파더,씨메르,승민,짱구,아버지,사장,약국,포차,국밥집,송도,중국,술집,오사카,만두집,카페,하동,애견카페,이집트","괜찮다,잘먹다,반응 좋다,갖고싶다,좋다,성장하다,느낌 좋다,좋아하다,망치다,아쉽다,기분 좋다,완전 괜찮다,어이없다,힘들다,아프다,세련된 느낌,할 말이 없다,서비스 받다,귀엽다,특이하다,미치다,깔끔하다,시원하다,맛있다,달달하다,맛 시원시원하다,당도 높다"
13844662706,BL000000013844662706,[도쿄 일상 85] 힘든 나날들의 연속  한국 갈 준비를 해요 ✈️,https://blog.naver.com/2_3jy/223964681055,블로그,네이버블로그,내가 사랑하는 순간의 기록,2025-08-09,긍정,"일본,일본일기,일본일상,일본워홀,일본취업,일본여행,도쿄,도쿄일기,도쿄일상,도쿄워홀,도쿄취업,도쿄여행,서이추,서이추환영,서로이웃,서로이웃추가,서로이웃환영","가슴,날개,금요일,월요일,요일,점심,영원,토요일,오늘,하루,오랜만,올해,시간,다음날,기간,여름,지금,일상,연속,준비,시작,능력,버전,번개,부서,한국여자,생각,정신,공개,설치,추천,냉동,마음,상황,쿠폰,가입,대체,모습,왼쪽,투명,품절,눈물,사랑,선물,알코올,양산,우울,잇티제,멘트,감동,사용,츠키미,계절,컨트리,샤인,평균,행운,당첨,포기,사람,재료,고민,구경,발견,취향,저격,상품,신상,한정,마지막,전문,덕분,단백질,기념,리프레시,행복,주먹밥,치즈,삼겹살,아이스크림,곱창,닭발,체다치즈,크림,파마산,계란,붕어,새우,베이컨,에그,소금,딸기,망고,버섯,오이,고추,과자,논알코올맥주,비지,인도커리,치킨,떡볶이,비빔면,후식,불족발,불족,마라탕,마라샹궈,육회,족발,파스타,강정,빙수,도시락,볶음밥,탕탕이,닭볶음,냉라면,라면,물냉면,냉면,버거,파이,슈크림,참치주먹밥,스크램블,티라미수,까르보나라,교자,만두,계란말이,푸딩,타르트,냉털,음식,식비,입맛,푸드,냉장,여름청바지,청바지,런치백,오오티디,스타일,칸막이,리모델링,바가지,설거지,냉동실,노트북,오티,사진,메이저,휴가,팽이,문구,마커,회사,입사,출근,퇴근,야근,사면,로켓,치맥킹,마라엽떡,뿌링클,불닭,치토스,유가네닭갈비,맥도날드,붕어싸만코,페이페이,메종,키디랜드,선배,한국인,아기,차장,도쿄,대한민국,장터,자메이카,이케부쿠로,신주쿠,백화점,동네,술집,전문점,은계","짱짱맨,갖고싶다,가고 싶다,사고싶다,힘들다,애매하다,좋다,여름 좋다,정신 없다,엄청나다,너무하다,쉽다,잘하다,알차다,섹시하다,못하다,밝다,야무지다,상쾌하다,맛 내다,맛있다"
13849568079,BL000000013849568079,숙대입구/남영｜돼지갈비 회식하기 좋은 남영역 고기 맛집 '청기와타운',https://blog.naver.com/sswonnyss/223966387398,블로그,네이버블로그,읽고먹고놀고마시고,2025-08-11,긍정,"청기와타운,청기와타운남영,돼지갈비맛집,숙대입구맛집,숙대입구데이트,숙대입구회식,남영역회식,남영역맛집,남영역돼지갈비,서울돼지갈비맛집","돼지,오늘,예전,영업시간,매일,브레이크타임,주말점심,점심,생일,입구,리뷰,트렌드,지원,작성,근처,요약,위치,라스트오더,방문,예약가능,예약,매장,외관,내부,분위기,초록,파랑,빨강색,조화,키트,메뉴판,입장,종류,모양,싸인,개정,외국인,생각,형태,공간,보관,고급,느낌,주문,이벤트,사이드,고민,제공,연속,선정,설명,위생등급,위로,시스템,인위적,재미,보장,부족,블루,리본,인증,등급,우수,감동,회식,장소,특별,돼지갈비,고기,소갈비,LA갈비,갈비,돼지갈비 양념,양념,와인,식사메뉴,투움바,무생채볶음밥,무볶음,미역국,반찬,생채,볶음밥,메뉴,음식,양념맛,인테리어,간판,테이블,캐비넷,수저,불판,화장실,버스,콘텐츠,콜라보,여행,관광객,관광,마커,모임,식약처인증,역세권,회사,바이럴,위생,청기와타운,블루리본 서베이,캐치테이블,NAVER,숙대,위너,한강,연예인,아기,남영역,맛집,지점,특별시,서울특별시,용산구,숙대입구역,가게,식당,고깃집,음식점,회식장소,타운,용산","좋아보이다,믿음직스럽다,꿀이득,강추드리다,강추,서비스 받다,잘되다,모임하기 좋다,우수하다,편하다,궁금하다,좋다,눈 들어오다,손님 많다,중요하다,메뉴 다양하다,종류 다양하다,다양하다,진하다,안좋다,감동하다,좋아하다,힘들다,화려하다,세심하다,신기하다,통통하다,특이하다,회식 좋다,깔끔하다,은은하다,맛집,맛있다,양념 맛있다,맛있는 곳,맛있는진 모르다"
13850312951,BL000000013850312951,이글레어 10년 (Eagle Rare 10 Year Old) 시음 후기 - 가격 맛 총정리,https://blog.naver.com/natte-space/223966714932,블로그,네이버블로그,"개미에서 베짱이로, 김나떼의 섬살이 노트",2025-08-11,긍정,"이글레어10년,버번위스키추천,제주공항면세점위스키,제주공항면세점위스키추천,버빙수","이글,버팔로,예전,기간,시음,후기,가격,총정리,탑승,구경,발견,기억,구매,정보,구매처,할인,기본,주요특징,숙성,덕분,복합적,복합,애호가,특징,종류,도수,싱글,카테고리,최고,선정,월드,스피릿,대회,더블,오크향,여운,추천,조합,합치,눈꽃,초보자,처음,생각,차이,비교,특유,알콜향,목넘김,사람,느낌,입문,제품,드립,피칸,인절미,치즈,다크초콜릿,카라멜,위스키,버번위스키,버번,스테이크,훈제,빙수,수란,눈꽃빙수,테이스팅 노트,과일향,바닐라향,견과류,과일맛,단맛,호두,입문자,입문용,평론,피니시,마커,면세,금액,페어링,머레이,골드메달,더달콤,우디,프랭클린,트레이스,평론가,면세점,제주공항면세점,생산지,미국,켄터키주,증류소,샌프란시스코","특별하다,요즘유행,유행하다,부담 없다,수상하다,구매하다,추천 받다,편하다,어우러지다,안맞다,가볍다,건조하다,향 부드럽다,은은하다,향 좋다,향 약하다,맛있다,풍미 자랑하다,달콤하다,스파이시하다,단맛,풍미 조화롭다,쌉쌀하다,견과류 고소하다,맛 쎄다,목넘김 부드럽다,목넘김 편하다,느끼하다,가격 좋다,합리적 가격,합리적 가격대,가격 즐기기좋다,가격대비 가볍다,가격대비 좋다,시간 있다,여유롭다,궁금하다,긴 여운,스모키하다,위스키 좋다,좋다,진하다,잘모르다,즐기다,강렬하다"
13850635660,BL000000013850635660,ep.8월의 일상들1,https://blog.naver.com/dkdudwkd216/223966852918,블로그,네이버블로그,AYOUNG HARU,2025-08-11,긍정,,"향수,오늘,점심,종종,일상,개회식,개회,보물찾기,음식물쓰레기,늦잠,사이즈,찬스,반값,취침,다이어트,사진,달리기,톡방,마커,단톡,면세,식단,보리,복숭아,위스키,커피,콩국수,버거,보쌈,런닝,반지,판도라,트랙,바바라,단톡방,팀장,과장,어머니,엄빠,사장,일본,밥집,하남,면세점,남양주,카페","비싸다,가격 사악하다,애타다,기분 좋다,먹고 싶다,힘들다,뿌듯하다,좋다,귀엽다,친절하다,잘생기다,맛있다"
13853783285,BL000000013853783285,"제주 바람에 취하고, 또똣에 또 취했또",https://blog.naver.com/s2s2jihyuns2s2/223968051673,블로그,네이버블로그,Jihyun's Story,2025-08-12,긍정,"제주혼술바,또똣혼술바,제주또똣혼술바,또똣제주,혼술바추천,제주도술집,혼저옵서예,제주가볼만한곳,제주도혼술집,제주도혼술바추천,제주도혼술바예약,제주도혼술바여자,제주도혼술바후기,새벽제주혼술바,제주시혼술바,제주시맛집,제주시술집,혼술집,초보블로거,블린이,혼술안주","악어,이빨,전완근,영업시간,매일,겨울,내일,바람,친구,재회,후기,협찬,제공,추가비용,내돈내산,혼술,위치,주차,가능,무료,주변,상점가,이용,예약,도착,비밀,느낌,입구,사람,분위기,감성,건물,오른쪽,계단,매장,내부,좌석,주문,생각,금지,포인트,혼자,주기,등장,무한,하늘,도라방스,남아,옆자리,방명록,고민,완료,오르가즘,도리,차례,올드,알못,원샷,마무리,대화,남자,여자,밀크,시럽,팝콘,칵테일,하이볼,토닉워터,마티니,디저트,외투,패션,조명,거울,행거,테이블,옷걸이,빨대,화장실,반계단,핸드워시,사진,혼여,혼자여행,여행,마커,손그림,셀카,게임,카드,출근,성비,술병,카타르시스,파리바게뜨,포스틱,시몬스침대,파우스트,말리부,네이버 톡톡,쟈니,사장,제주특별자치도,제주시,중앙로,상점,주차장,아지트,남자화장실,여자화장실,술집","부담 없다,추천하다,제대로이다,좋아하다,좋다,소외되다,거실 편안하다,편안하다,밝지않다,따뜻하다,잊지 못하다,어색하다,친하다,빠르다,뽀짝하다,어울리다,깔끔하다,끊기지않다,은은하다,맛있다,달달하다"
13854997400,BL000000013854997400,경성상회 사당점 회식장소 술집,https://blog.naver.com/lunarjin0805/223968505266,블로그,네이버블로그,Funderful life:),2025-08-12,긍정,"사당역술집,사당역회식장소,사당역모임장소,경성상회사당점","오늘,점심,상회,근처,방문,위치,주차,외관,모습,이름,복고,느낌,선샤인,이벤트,진행,매장,입구,계단,룸형식,단체,회식,프라이빗,형식,남자,메뉴판,매번,주문,준비,선택,오리지널,탄산,사용,왼쪽,생각,뿌리,고급,건배,마지막,특유,전시,일본여행,마커,종이,모임,술자리,회사,음식,메뉴,세트메뉴,일본식,식감,입맛,플레이팅,사시미,닭고기,고기,명란,베이컨,닭날개,생선,참치,새우,와사비간장소스,마요네즈,소금,와사비,간장,양배추,버섯,생맥,맥주,사케,하이볼,탄산수,꼬치,장조림,고추장아찌,장아찌,간장절임,안주,술안주,동그랑땡,복고풍,테이블,바테이블,주방,태블릿,기린 생맥주,주인공,회식장소,술집,핫플레이스,먹자골목,방배,주차장,공영주차장,음식점,출구,골목,일본,베트남,선술집,특별시,서울 서초구,서울특별시,사당역,모임장소","분위기 있다,특별하다,종류 많다,만족하다,두툼하다,좋아하다,좋다,즐기다,재미있다,다양하다,신나다,친근하다,이쁘다,곱다,싱싱하다,어울리다,아삭하다,맛있다,짭쪼름한 맛,맛 반하다,짭짤하다,식감 있다"
